id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url,sentiment
31864,result,1035,0,,,,,,"No, Al. The principle of anthropogenic climate change is a huge fraud - as are you. Go sell crazy somewhere else; we're all stocked up here. #ClimateScam #WEFpuppet",1741039227368804809,f,t,17,,,,,,,,,,,,,Tim Price,https://twitter.com/algore/status/Field,1.734238192608412e+18,2023-12-30 10:11:13+00,0,12,2,https://twitter.com/TimPrice1969/status/1741039227368804809,1671036022891610112,TimPrice1969,688.0,2024-06-05 09:46:15.745928+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
31866,result,1013,0,,,,,,Al Gore is a big promoter of 'climate change'.  #ClimateScam https://t.co/Zu78NMDMmf,1741048084178645242,f,f,3,https://pbs.twimg.com/media/GClyAXJWAAEfvAd.jpg,photo,https://pbs.twimg.com/media/GClyAXJWAAEfvAd.jpg,,,,,,,,,,Man of Kent,,,2023-12-30 10:46:25+00,0,1,0,https://twitter.com/pplatesrgrate/status/1741048084178645242,3044805941,pplatesrgrate,99.0,2024-06-05 09:45:59.28737+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
31885,result,814,0,,,,,,Sums up the climate change scam perfectly. #ClimateScam #ClimateCrisis #ClimateEmergency   https://t.co/zzvmZTe4Wy https://t.co/bNVvWXeNeJ,1741121692112392654,f,f,10,https://pbs.twimg.com/media/GCm08z2WYAAxGKd.jpg,photo,https://pbs.twimg.com/media/GCm08z2WYAAxGKd.jpg,,,,,,,,,,DonKeiller,,,2023-12-30 15:38:54+00,0,4,0,https://twitter.com/KeillerDon/status/1741121692112392654,1081945529112821762,KeillerDon,382.0,2024-06-05 08:49:06.774045+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
31896,result,1525,0,,,,,,"Labors new retârded emissions laws progress socialism under the guise of fighting climate change  Given the overall uselessness of EV Ute's &amp; trucks, these guys should make a come back, they're far more safe &amp; effective   #ClimateCrisis #ClimateScam https://t.co/LQ39gHOx0o",1740830448421581167,f,f,2,https://pbs.twimg.com/media/GCisETRbwAARkwr.jpg,photo,https://pbs.twimg.com/media/GCisETRbwAARkwr.jpg,,,,,,,,,,Ant,,,2023-12-29 20:21:36+00,0,0,0,https://twitter.com/AntBA013/status/1740830448421581167,1414799996990365702,AntBA013,78.0,2024-06-05 09:52:16.453418+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
31927,result,722,0,,,,,,*Climate change solved in three minutes - Gemma O'Doherty #ClimateScam #GemmaODoherty #Ireland 🇮🇪 https://t.co/Xw0o5FKmOB,1741148557350965566,f,f,5,,,,,,,,,,,,,𝓦𝓪𝓻𝓻𝓮𝓷 𝓒𝓱𝓪𝓶𝓫𝓮𝓻𝓼,,,2023-12-30 17:25:39+00,0,2,2,https://twitter.com/wrnchamberseire/status/1741148557350965566,1621145355151904771,wrnchamberseire,260.0,2024-06-05 08:48:01.669776+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148530,result,48,2119,,,,,,You’ll Either Believe In Climate Change Or They’ll Manufacture As Many “Natural” Disasters As Needed To Force You To Believe It ‌ THE VIEW: “They're taking storms that are already there &amp; given it a little boost — Cloud seeding is ramping up so big“ ‌ Weather Manipulation Is https://t.co/5YHzdRkiUd,1698741082027413509,f,f,12173,https://pbs.twimg.com/amplify_video_thumb/1698741018072649728/img/eGcsR1TmSStvGloc.jpg,video,https://video.twimg.com/amplify_video/1698741018072649728/vid/320x568/rfXEw4pL93qKR4_t.mp4?tag=14,,,,,,,,,,Wall Street Apes,,,2023-09-04 16:53:29+00,350,7441,483,https://twitter.com/WallStreetApes/status/1698741082027413509,1099579684981944320,WallStreetApes,1820107.0,2024-06-05 08:40:15.122186+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148532,result,26,59,,,,,,Unwilling to answer on Tony Abbott’s speech denying Climate Change Sussan Ley pivots to talk on Gas but ends up grilled by Sky host Laura Jayes who calls out the “hypocrisy” in criticising the PM for oseas travel “while you’ve got 8 of your front benchers in the UK”🔥#auspol https://t.co/Rz4agZ2JfP,1719908543716069686,f,f,2231,https://pbs.twimg.com/ext_tw_video_thumb/1719908447460966400/pu/img/kky-3vxuWLU32UrU.jpg,video,https://video.twimg.com/ext_tw_video/1719908447460966400/pu/vid/avc1/492x270/KF6wlsyc9R9gfh8u.mp4?tag=12,,,,,,,,,,stranger,,,2023-11-02 02:45:25+00,72,675,251,https://twitter.com/strangerous10/status/1719908543716069686,1456025947719622661,strangerous10,169770.0,2024-06-05 08:40:00.446004+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148534,result,168,186,,,,,,"WEF panelist, Mariana Mazzucato, explains how the plan to vaccinate the world has failed and admits climate change is too abstract to affect enough change. What is Plan C? Fear mongering about a water crisis.   Their formula is simple:  1) Create a crisis  2) Accumulate power https://t.co/DCvuDI4wTE",1708570834045145560,f,f,4533,https://pbs.twimg.com/amplify_video_thumb/1708570747420172288/img/fD_RpBczJaMZ6kw2.jpg,video,https://video.twimg.com/amplify_video/1708570747420172288/vid/avc1/490x270/_WAegtXmPJIsqtjK.mp4?tag=14,,,,,,,,,,Charlie Kirk,,,2023-10-01 19:53:25+00,135,2120,515,https://twitter.com/charliekirk11/status/1708570834045145560,292929271,charliekirk11,248710.0,2024-06-05 08:41:39.752519+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148549,result,61,808,,,,,,This is terrorism🇮🇱  Not only against Palestine but against the entire planet!   Did you suddenly stop caring about “climate change”? psychopath!  https://t.co/2eqWr3TYvy,1732374943059366315,f,f,77258,https://pbs.twimg.com/amplify_video_thumb/1731797951125606400/img/ZI2rYHL1yiavLMJz.jpg,video,https://video.twimg.com/amplify_video/1731797951125606400/vid/avc1/320x544/KeqSU1p6aZF7nacN.mp4?tag=14,,,,,,,,,,Dr. Anastasia Maria Loupis,,,2023-12-06 12:22:27+00,1157,49356,4643,https://twitter.com/DrLoupis/status/1732374943059366315,1446231057259433988,DrLoupis,1669107.0,2024-06-05 08:40:24.983898+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148562,result,33,1171,,,,,,"Nigeria's President, Bola Ahmed Tinubu, left attendees of the 2023 United Nations Climate Change Conference, bewildered, as they tried to decipher and comprehend his speech. https://t.co/Uo6MbM4Hjf",1731674055017714116,f,f,4062,https://pbs.twimg.com/amplify_video_thumb/1731673990215692288/img/uZe-WAA5aPbGaPbY.jpg,video,https://video.twimg.com/amplify_video/1731673990215692288/vid/avc1/492x270/8ypKaoaFklfa4SeD.mp4?tag=14,,,,,,,,,,SIKAOFFICIAL🦍,,,2023-12-04 13:57:22+00,1027,1293,722,https://twitter.com/SIKAOFFICIAL1/status/1731674055017714116,1238275318923907073,SIKAOFFICIAL1,1170050.0,2024-06-05 08:40:03.289504+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148563,result,111,59,,,,,,“This is the first time that I’ve been overly concerned that we have reached a point we cannot return from.” Florida meteorologist Steve MacLaughlin sounds the alarm about climate change. (Video: NBC6 South Florida) https://t.co/RQWzvzPRsQ,1685954302807093248,f,f,4411,https://pbs.twimg.com/amplify_video_thumb/1685954150914572288/img/OwgJauFd2lD7pvN4.jpg,video,https://video.twimg.com/amplify_video/1685954150914572288/vid/478x270/JKlVV0gVPmjWbbVv.mp4?tag=14,,,,,,,,,,Mike Sington,,,2023-07-31 10:03:23+00,89,1889,579,https://twitter.com/MikeSington/status/1685954302807093248,2234760798,MikeSington,116239.0,2024-06-05 08:40:58.666394+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
148600,result,25,4485,,,,,,"A wise person once said that you will experience climate change through a series of increasingly wild videos, until you are the one taking the video.  https://t.co/aagZg9g7yd",1707784450136846392,f,f,76937,https://pbs.twimg.com/ext_tw_video_thumb/1707772458579742720/pu/img/JX4ELIJBD4kEQLpU.jpg,video,https://video.twimg.com/ext_tw_video/1707772458579742720/pu/vid/avc1/320x576/XChcdGHmn6x6f_Sl.mp4?tag=12,,,,,,,,,,Dr. Lucky Tran,,,2023-09-29 15:48:36+00,1243,17991,705,https://twitter.com/luckytran/status/1707784450136846392,159955958,luckytran,10474921.0,2024-06-05 08:40:00.046957+00,https://twitter.com/search?q=climate%20change%20lang%3Aen%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=top,0
